dataset,split_id,model_id,threat_id,hardware_id,n_runs,clean_macro_f1,clean_macro_f1_std,clean_macro_f1_ci_low,clean_macro_f1_ci_high,clean_bal_acc,clean_bal_acc_std,clean_bal_acc_ci_low,clean_bal_acc_ci_high,robust_utility,robust_utility_std,robust_utility_ci_low,robust_utility_ci_high,asr,asr_std,asr_ci_low,asr_ci_high,validity_rate,validity_rate_std,validity_rate_ci_low,validity_rate_ci_high,valid_count,valid_count_std,valid_count_ci_low,valid_count_ci_high,invalid_count,invalid_count_std,invalid_count_ci_low,invalid_count_ci_high,budget_pass_rate,budget_pass_rate_std,budget_pass_rate_ci_low,budget_pass_rate_ci_high,bounds_pass_rate,bounds_pass_rate_std,bounds_pass_rate_ci_low,bounds_pass_rate_ci_high,immutable_pass_rate,immutable_pass_rate_std,immutable_pass_rate_ci_low,immutable_pass_rate_ci_high,relation_pass_rate,relation_pass_rate_std,relation_pass_rate_ci_low,relation_pass_rate_ci_high,p95_latency_ms,p95_latency_ms_std,p95_latency_ms_ci_low,p95_latency_ms_ci_high,throughput_fps,throughput_fps_std,throughput_fps_ci_low,throughput_fps_ci_high,peak_mem_mb,peak_mem_mb_std,peak_mem_mb_ci_low,peak_mem_mb_ci_high,energy_per_flow_j,energy_per_flow_j_std,energy_per_flow_j_ci_low,energy_per_flow_j_ci_high,service_cost,service_cost_std,service_cost_ci_low,service_cost_ci_high,raise_score,raise_score_std,raise_score_ci_low,raise_score_ci_high,thread_count,thread_count_std,thread_count_ci_low,thread_count_ci_high,batch_size,batch_size_std,batch_size_ci_low,batch_size_ci_high,shift_utility_drop,shift_utility_drop_std,shift_utility_drop_ci_low,shift_utility_drop_ci_high
CICIDS2017,cicids2017_random_control_sample,extra_trees,a0_clean,cpu_proxy,5,0.9945774334660313,0.0005325112016135816,0.9941106668177608,0.9950442001143018,0.9948299624142125,0.000561576288786327,0.9943377190937515,0.9953222057346736,0.994703697940122,0.0005423832782079727,0.9942282780351887,0.9951791178450554,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,72000.0,0.0,72000.0,72000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00229444404305814,6.128697117846033e-05,0.002240723644251618,0.0023481644418646623,436089.9762811091,11914.487520595767,425646.46750796406,446533.4850542541,23.915181159973145,0.00023196449199612454,23.914977834131136,23.915384485815153,0.0,0.0,0.0,0.0,0.08314993889642905,0.009799434205793914,0.07456035609455385,0.09173952169830425,0.9910035972600436,0.0007336142929370543,0.9903605559801607,0.9916466385399265,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_random_control_sample,logistic_regression,a0_clean,cpu_proxy,5,0.9386397259564067,0.0004566093755541634,0.9382394901920688,0.9390399617207446,0.9588104854493483,0.0013530369265743777,0.9576244962921443,0.9599964746065524,0.9487251057028774,0.0007161805172400182,0.9480973458011592,0.9493528656045955,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,72000.0,0.0,72000.0,72000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.842095971982215e-05,7.86610984230186e-06,5.152601044008224e-05,6.531590899956206e-05,17352858.482869066,2199601.391280278,15424822.855021186,19280894.110716946,1.6492080688476562,4.38690185546875e-05,1.6491696159574791,1.6492465217378334,0.0,0.0,0.0,0.0,0.47212594668728647,0.03661850832319744,0.44002840893992445,0.5042234844346485,0.9391363361340501,0.0014104728552602269,0.9379000021656163,0.9403726701024839,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_random_control_sample,random_forest,a0_clean,cpu_proxy,5,0.9963460779112575,0.0005658567682273549,0.9958500825851379,0.9968420732373772,0.9961717113881532,0.0006075074541995577,0.9956392076260974,0.996704215150209,0.9962588946497053,0.0005849673597169467,0.9957461481515746,0.996771641147836,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,72000.0,0.0,72000.0,72000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0015239761268007802,3.3831630643456105e-05,0.0014943213950446746,0.0015536308585568858,656438.5105816928,14656.498228448316,643591.5234521339,669285.4977112517,23.915421867370604,0.0005487240140222651,23.914940889565678,23.91590284517553,0.0,0.0,0.0,0.0,0.06489213854750914,0.010518228352036734,0.055672504897085404,0.07411177219793287,0.992925536651603,0.0007935811300147681,0.9922299321214724,0.9936211411817336,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,extra_trees,a0_clean,cpu_proxy,5,0.8517131513964824,0.005568638023412798,0.8468320249568055,0.8565942778361593,0.8446473937657952,0.00543645915027654,0.8398821272167629,0.8494126603148275,0.8481802725811388,0.005478121632879316,0.8433784872559678,0.8529820579063099,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00497766653827054,0.0001879899139138119,0.004812886113445058,0.0051424469630960215,201132.66344261274,7792.0607079252995,194302.6210909441,207962.70579428138,2.0112342834472656,0.0002114319833458102,2.011048955142613,2.011419611751918,0.0,0.0,0.0,0.0,2.4225435840534657,0.08645503394769867,2.346762405555056,2.498324762551875,0.7995409431482426,0.007020351225308089,0.7933873339824832,0.8056945523140021,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,logistic_regression,a0_clean,cpu_proxy,5,0.8166633420435708,0.004328914019915544,0.8128688816047959,0.8204578024823458,0.820835489443277,0.0034921363108583185,0.8177744970055894,0.8238964818809646,0.8187494157434239,0.0038338437614290196,0.8153889035192817,0.822109927967566,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0002416513748903,5.8857216043897543e-05,0.0001900607503624059,0.00029324199941819406,4307807.746621194,878993.5073437863,3537335.966814141,5078279.526428248,0.1386054992675781,2.4028051038030225e-05,0.13858443775222684,0.13862656078292934,0.0,0.0,0.0,0.0,2.364713051480928,0.06009609044681825,2.312036505659872,2.417389597301984,0.7714423334531245,0.004362916213089656,0.7676180687779436,0.7752665981283055,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CSE-CIC-IDS2018,cse_cic_ids2018_random_control_sample,random_forest,a0_clean,cpu_proxy,5,0.8652358642205463,0.003279560736247426,0.8623612024894516,0.8681105259516411,0.8510739317115015,0.004378565644553227,0.8472359497048363,0.8549119137181667,0.8581548979660241,0.003811198490070452,0.8548142351974035,0.8614955607346446,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00367979870488242,0.00010783955830116827,0.003585273164336634,0.003774324245428206,271943.16518739634,8070.300366300775,264869.23502198345,279017.09535280924,2.0114389419555665,0.0005694807708377449,2.0109397700511016,2.0119381138600314,0.0,0.0,0.0,0.0,2.562615949489422,0.1093150506511689,2.466797082875242,2.6584348161036018,0.8067168082657549,0.005940798125747494,0.8015094691134431,0.8119241474180666,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
