dataset,split_id,model_id,threat_id,hardware_id,n_runs,clean_macro_f1,clean_macro_f1_std,clean_macro_f1_ci_low,clean_macro_f1_ci_high,clean_bal_acc,clean_bal_acc_std,clean_bal_acc_ci_low,clean_bal_acc_ci_high,robust_utility,robust_utility_std,robust_utility_ci_low,robust_utility_ci_high,asr,asr_std,asr_ci_low,asr_ci_high,validity_rate,validity_rate_std,validity_rate_ci_low,validity_rate_ci_high,valid_count,valid_count_std,valid_count_ci_low,valid_count_ci_high,invalid_count,invalid_count_std,invalid_count_ci_low,invalid_count_ci_high,budget_pass_rate,budget_pass_rate_std,budget_pass_rate_ci_low,budget_pass_rate_ci_high,bounds_pass_rate,bounds_pass_rate_std,bounds_pass_rate_ci_low,bounds_pass_rate_ci_high,immutable_pass_rate,immutable_pass_rate_std,immutable_pass_rate_ci_low,immutable_pass_rate_ci_high,relation_pass_rate,relation_pass_rate_std,relation_pass_rate_ci_low,relation_pass_rate_ci_high,p95_latency_ms,p95_latency_ms_std,p95_latency_ms_ci_low,p95_latency_ms_ci_high,throughput_fps,throughput_fps_std,throughput_fps_ci_low,throughput_fps_ci_high,peak_mem_mb,peak_mem_mb_std,peak_mem_mb_ci_low,peak_mem_mb_ci_high,energy_per_flow_j,energy_per_flow_j_std,energy_per_flow_j_ci_low,energy_per_flow_j_ci_high,service_cost,service_cost_std,service_cost_ci_low,service_cost_ci_high,raise_score,raise_score_std,raise_score_ci_low,raise_score_ci_high,thread_count,thread_count_std,thread_count_ci_low,thread_count_ci_high,batch_size,batch_size_std,batch_size_ci_low,batch_size_ci_high,shift_utility_drop,shift_utility_drop_std,shift_utility_drop_ci_low,shift_utility_drop_ci_high
CICIDS2017,cicids2017_friday_holdout_sample,extra_trees,a0_clean,jetson_orin_nx_super_ina3221_20260608t140153z,5,0.5033508917412581,0.038047364214066196,0.47000090658429894,0.5367008768982173,0.5610297560211532,0.021687451457577563,0.5420198666597481,0.5800396453825584,0.5321903238812057,0.02986679430083642,0.5060109244091496,0.5583697233532617,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,90000.0,0.0,90000.0,90000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.004842450610248759,0.00013816478396991652,0.004721343837419863,0.004963557383077656,206643.71474283925,5990.564399734714,201392.7535280516,211894.6759576269,29.881516647338866,0.0001686189506516523,29.88136884631197,29.88166444836576,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,8.766844424131039,0.43546313815876986,8.385144154112629,9.148544694149448,0.3537817823266736,0.03857557494201023,0.31996880005281647,0.3875947646005308,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_friday_holdout_sample,extra_trees,a1_constrained_feature,jetson_orin_nx_super_ina3221_20260608t140153z,5,0.5033508917412581,0.038047364214066196,0.47000090658429894,0.5367008768982173,0.5610297560211532,0.021687451457577563,0.5420198666597481,0.5800396453825584,0.5239508401931909,0.023248008310036886,0.5035730624394837,0.5443286179468981,0.889519170602421,0.03413786647574915,0.8595960113041592,0.9194423299006829,0.9935377777777779,0.0054531087520540145,0.9887579172093275,0.9983176383462282,89418.4,490.77978768486383,88988.21254883945,89848.58745116054,581.6,490.7797876848638,151.41254883946237,1011.7874511605377,1.0,0.0,1.0,1.0,0.9935377777777779,0.0054531087520540145,0.9887579172093275,0.9983176383462282,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.004842450610248759,0.00013816478396991652,0.004721343837419863,0.004963557383077656,206643.71474283925,5990.564399734714,201392.7535280516,211894.6759576269,29.881516647338866,0.0001686189506516523,29.88136884631197,29.88166444836576,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,8.766844424131039,0.43546313815876986,8.385144154112629,9.148544694149448,0.34842611792946404,0.03360375973307934,0.3189711238328717,0.3778811120260564,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_friday_holdout_sample,extra_trees,a1_constrained_score_search,jetson_orin_nx_super_ina3221_20260608t140153z,5,0.5033508917412581,0.038047364214066196,0.47000090658429894,0.5367008768982173,0.5610297560211532,0.021687451457577563,0.5420198666597481,0.5800396453825584,0.5152405218358,0.01483132512164343,0.5022402921777892,0.5282407514938109,0.9021222093309538,0.021666274698612275,0.8831308822172037,0.9211135364447038,0.9935377777777779,0.0054531087520540145,0.9887579172093275,0.9983176383462282,89418.4,490.77978768486383,88988.21254883945,89848.58745116054,581.6,490.7797876848638,151.41254883946237,1011.7874511605377,1.0,0.0,1.0,1.0,0.9935377777777779,0.0054531087520540145,0.9887579172093275,0.9983176383462282,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.004842450610248759,0.00013816478396991652,0.004721343837419863,0.004963557383077656,206643.71474283925,5990.564399734714,201392.7535280516,211894.6759576269,29.881516647338866,0.0001686189506516523,29.88136884631197,29.88166444836576,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,8.766844424131039,0.43546313815876986,8.385144154112629,9.148544694149448,0.3427644109971599,0.027670347706410917,0.31851028185158453,0.3670185401427352,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_friday_holdout_sample,extra_trees,a4_split_shift,jetson_orin_nx_super_ina3221_20260608t140153z,5,0.5033508917412581,0.038047364214066196,0.47000090658429894,0.5367008768982173,0.5610297560211532,0.021687451457577563,0.5420198666597481,0.5800396453825584,0.5321903238812057,0.02986679430083642,0.5060109244091496,0.5583697233532617,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,90000.0,0.0,90000.0,90000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.004842450610248759,0.00013816478396991652,0.004721343837419863,0.004963557383077656,206643.71474283925,5990.564399734714,201392.7535280516,211894.6759576269,29.881516647338866,0.0001686189506516523,29.88136884631197,29.88166444836576,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,8.766844424131039,0.43546313815876986,8.385144154112629,9.148544694149448,0.3537817823266736,0.03857557494201023,0.31996880005281647,0.3875947646005308,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_friday_holdout_sample,logistic_regression,a0_clean,jetson_orin_nx_super_ina3221_20260608t140153z,5,0.7068493456187278,0.04543877550625024,0.6670205028069672,0.7466781884304884,0.6988091088320019,0.03801310944388774,0.6654891493049544,0.7321290683590493,0.7028292272253649,0.04172592976566796,0.666254837196242,0.7394036172544878,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,90000.0,0.0,90000.0,90000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00015126747060756,1.9319765134758844e-05,0.00013433294981250474,0.00016820199140261523,6691128.849556462,789682.3949765626,5998941.711361908,7383315.987751015,2.0615135192871095,0.0002070918655166399,2.0613319952634677,2.0616950433107513,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,5.487187623299285,0.7821208241720646,4.801628494148261,6.172746752450308,0.5923533462818384,0.057368009056443195,0.5420680692320985,0.6426386233315784,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_friday_holdout_sample,logistic_regression,a1_constrained_feature,jetson_orin_nx_super_ina3221_20260608t140153z,5,0.7068493456187278,0.04543877550625024,0.6670205028069672,0.7466781884304884,0.6988091088320019,0.03801310944388774,0.6654891493049544,0.7321290683590493,0.6859364606038593,0.02809461301531118,0.6613104465183751,0.7105624746893434,0.5763509051559194,0.0536851133996378,0.5292938284829004,0.6234079818289383,0.9935377777777779,0.0054531087520540145,0.9887579172093275,0.9983176383462282,89418.4,490.77978768486383,88988.21254883945,89848.58745116054,581.6,490.7797876848638,151.41254883946237,1011.7874511605377,1.0,0.0,1.0,1.0,0.9935377777777779,0.0054531087520540145,0.9887579172093275,0.9983176383462282,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00015126747060756,1.9319765134758844e-05,0.00013433294981250474,0.00016820199140261523,6691128.849556462,789682.3949765626,5998941.711361908,7383315.987751015,2.0615135192871095,0.0002070918655166399,2.0613319952634677,2.0616950433107513,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,5.487187623299285,0.7821208241720646,4.801628494148261,6.172746752450308,0.5813730479778598,0.04844549040569668,0.5389087033556827,0.6238373926000369,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_friday_holdout_sample,logistic_regression,a1_constrained_score_search,jetson_orin_nx_super_ina3221_20260608t140153z,5,0.7068493456187278,0.04543877550625024,0.6670205028069672,0.7466781884304884,0.6988091088320019,0.03801310944388774,0.6654891493049544,0.7321290683590493,0.6415746460845048,0.013614133056697727,0.6296413323124596,0.65350795985655,0.6570214764771614,0.02649049856955455,0.6338015306978825,0.6802414222564402,0.9935377777777779,0.0054531087520540145,0.9887579172093275,0.9983176383462282,89418.4,490.77978768486383,88988.21254883945,89848.58745116054,581.6,490.7797876848638,151.41254883946237,1011.7874511605377,1.0,0.0,1.0,1.0,0.9935377777777779,0.0054531087520540145,0.9887579172093275,0.9983176383462282,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00015126747060756,1.9319765134758844e-05,0.00013433294981250474,0.00016820199140261523,6691128.849556462,789682.3949765626,5998941.711361908,7383315.987751015,2.0615135192871095,0.0002070918655166399,2.0613319952634677,2.0616950433107513,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,5.487187623299285,0.7821208241720646,4.801628494148261,6.172746752450308,0.5525378685402794,0.038671675924860566,0.518640650040922,0.5864350870396369,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_friday_holdout_sample,logistic_regression,a4_split_shift,jetson_orin_nx_super_ina3221_20260608t140153z,5,0.7068493456187278,0.04543877550625024,0.6670205028069672,0.7466781884304884,0.6988091088320019,0.03801310944388774,0.6654891493049544,0.7321290683590493,0.7028292272253649,0.04172592976566796,0.666254837196242,0.7394036172544878,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,90000.0,0.0,90000.0,90000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00015126747060756,1.9319765134758844e-05,0.00013433294981250474,0.00016820199140261523,6691128.849556462,789682.3949765626,5998941.711361908,7383315.987751015,2.0615135192871095,0.0002070918655166399,2.0613319952634677,2.0616950433107513,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,5.487187623299285,0.7821208241720646,4.801628494148261,6.172746752450308,0.5923533462818384,0.057368009056443195,0.5420680692320985,0.6426386233315784,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_friday_holdout_sample,random_forest,a0_clean,jetson_orin_nx_super_ina3221_20260608t140153z,5,0.5669050771325589,0.09185192994612781,0.48639331071671543,0.6474168435484023,0.6022665017061234,0.05745000046626523,0.5519093560169377,0.6526236473953091,0.5845857894193411,0.0746403336426029,0.5191606523431963,0.650010926495486,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,90000.0,0.0,90000.0,90000.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00322107890739178,0.00010439308848847603,0.0031295743308331577,0.003312583483950402,310717.31346809276,10122.164850829442,301844.8447832146,319589.7821529709,29.88197841644287,0.0013158280729746994,29.880825042283863,29.883131790601876,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,7.950847218567911,1.1498226087595744,6.94298326458891,8.958711172546911,0.42250053467917353,0.09763242815969982,0.33692193817917976,0.5080791311791673,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
CICIDS2017,cicids2017_friday_holdout_sample,random_forest,a1_constrained_feature,jetson_orin_nx_super_ina3221_20260608t140153z,5,0.5669050771325589,0.09185192994612781,0.48639331071671543,0.6474168435484023,0.6022665017061234,0.05745000046626523,0.5519093560169377,0.6526236473953091,0.5308184045900484,0.08903428436645619,0.4527764134188428,0.608860395761254,0.8742670651020774,0.1317029050775753,0.7588243788557145,0.9897097513484403,0.9935377777777779,0.0054531087520540145,0.9887579172093275,0.9983176383462282,89418.4,490.77978768486383,88988.21254883945,89848.58745116054,581.6,490.7797876848638,151.41254883946237,1011.7874511605377,1.0,0.0,1.0,1.0,0.9935377777777779,0.0054531087520540145,0.9887579172093275,0.9983176383462282,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.00322107890739178,0.00010439308848847603,0.0031295743308331577,0.003312583483950402,310717.31346809276,10122.164850829442,301844.8447832146,319589.7821529709,29.88197841644287,0.0013158280729746994,29.880825042283863,29.883131790601876,7.885391547583102e-05,0.0,7.885391547583102e-05,7.885391547583102e-05,7.950847218567911,1.1498226087595744,6.94298326458891,8.958711172546911,0.38755173454013325,0.10531733378217756,0.2952370212621075,0.479866447818159,8.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
