stage,event_count,elapsed_s_total,elapsed_s_mean,elapsed_s_max
acceptance_report,1,0.02692699432373047,0.02692699432373047,0.02692699432373047
admissibility_rejection,1,0.3673717975616455,0.3673717975616455,0.3673717975616455
aggregate_results,2,7.706492900848389,3.8532464504241943,5.39916467666626
analysis,1,3.6297755241394043,3.6297755241394043,3.6297755241394043
artifact_merge,4,2.92073392868042,0.730183482170105,0.7461545467376709
clean_profile,300,116.4453613758087,0.38815120458602903,2.471120595932007
dataset_load,60,1015.7984795570374,16.929974659283957,44.426593542099
hardware_audit,1,0.10996699333190918,0.10996699333190918,0.10996699333190918
hardware_validation,1,0.1084749698638916,0.1084749698638916,0.1084749698638916
model_training,300,2837.6142888069153,9.45871429602305,24.665817737579346
preprocess_manifest,60,191.87933778762817,3.1979889631271363,5.265566110610962
preprocessing,300,1028.6955726146698,3.4289852420488995,6.114595651626587
profile_manifest,1,0.0038194656372070312,0.0038194656372070312,0.0038194656372070312
result_writing,900,3.5399005413054967,0.003933222823672774,0.0400676727294921
run_benchmark,5,5616.510655879974,1123.3021311759949,2114.6088259220123
split_construction,300,50.382369756698594,0.16794123252232865,0.3670620918273926
strict_audit,1,0.7715237140655518,0.7715237140655518,0.7715237140655518
threat_evaluation,900,358.5236778259277,0.3983596420288085,4.42558217048645
timed_strict_audit,1,0.8102405071258545,0.8102405071258545,0.8102405071258545
