event_id,stage,dataset,split_id,seed,model_id,threat_id,start_iso,end_iso,elapsed_s,rows,output_path,detail
27,split_construction,UNSW-NB15,unsw_nb15_official_full,0,logistic_regression,,2026-06-12T10:11:25.212712+00:00,2026-06-12T10:11:25.390775+00:00,0.17806339263916016,257673,,
28,preprocessing,UNSW-NB15,unsw_nb15_official_full,0,logistic_regression,,2026-06-12T10:11:25.390899+00:00,2026-06-12T10:11:31.283928+00:00,5.893028974533081,257673,,
29,model_training,UNSW-NB15,unsw_nb15_official_full,0,logistic_regression,,2026-06-12T10:11:31.284069+00:00,2026-06-12T10:11:50.408478+00:00,19.124409198760986,257673,,
30,clean_profile,UNSW-NB15,unsw_nb15_official_full,0,logistic_regression,,2026-06-12T10:11:50.408572+00:00,2026-06-12T10:11:50.492709+00:00,0.084136962890625,257673,,
31,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,logistic_regression,a0_clean,2026-06-12T10:11:50.501395+00:00,2026-06-12T10:11:50.537278+00:00,0.03588247299194336,82332,,
32,result_writing,UNSW-NB15,unsw_nb15_official_full,0,logistic_regression,a0_clean,2026-06-12T10:11:50.537458+00:00,2026-06-12T10:11:50.540988+00:00,0.003529787063598633,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_logistic_regression_a0_clean_0.csv,
33,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,logistic_regression,a1_constrained_feature,2026-06-12T10:11:50.541039+00:00,2026-06-12T10:11:50.911835+00:00,0.37079620361328125,82332,,
34,result_writing,UNSW-NB15,unsw_nb15_official_full,0,logistic_regression,a1_constrained_feature,2026-06-12T10:11:50.912076+00:00,2026-06-12T10:11:50.915545+00:00,0.003468751907348633,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_logistic_regression_a1_constrained_feature_0.csv,
35,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,logistic_regression,a1_constrained_score_search,2026-06-12T10:11:50.915584+00:00,2026-06-12T10:11:52.013388+00:00,1.0978033542633057,82332,,
36,result_writing,UNSW-NB15,unsw_nb15_official_full,0,logistic_regression,a1_constrained_score_search,2026-06-12T10:11:52.013616+00:00,2026-06-12T10:11:52.017133+00:00,0.0035173892974853516,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_logistic_regression_a1_constrained_score_search_0.csv,
37,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,logistic_regression,a4_split_shift,2026-06-12T10:11:52.017177+00:00,2026-06-12T10:11:52.052751+00:00,0.03557419776916504,82332,,
38,result_writing,UNSW-NB15,unsw_nb15_official_full,0,logistic_regression,a4_split_shift,2026-06-12T10:11:52.052935+00:00,2026-06-12T10:11:52.056330+00:00,0.0033953189849853516,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_logistic_regression_a4_split_shift_0.csv,
39,split_construction,UNSW-NB15,unsw_nb15_official_full,0,mlp_sklearn,,2026-06-12T10:11:52.056411+00:00,2026-06-12T10:11:52.233063+00:00,0.1766519546508789,257673,,
40,preprocessing,UNSW-NB15,unsw_nb15_official_full,0,mlp_sklearn,,2026-06-12T10:11:52.233168+00:00,2026-06-12T10:11:58.136158+00:00,5.902990102767944,257673,,
41,model_training,UNSW-NB15,unsw_nb15_official_full,0,mlp_sklearn,,2026-06-12T10:11:58.136334+00:00,2026-06-12T10:12:11.684537+00:00,13.548202991485596,257673,,
42,clean_profile,UNSW-NB15,unsw_nb15_official_full,0,mlp_sklearn,,2026-06-12T10:12:11.684627+00:00,2026-06-12T10:12:11.882447+00:00,0.19782018661499023,257673,,
43,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,mlp_sklearn,a0_clean,2026-06-12T10:12:11.890685+00:00,2026-06-12T10:12:11.965219+00:00,0.07453417778015137,82332,,
44,result_writing,UNSW-NB15,unsw_nb15_official_full,0,mlp_sklearn,a0_clean,2026-06-12T10:12:11.965403+00:00,2026-06-12T10:12:11.991868+00:00,0.02646493911743164,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_mlp_sklearn_a0_clean_0.csv,
45,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,mlp_sklearn,a1_constrained_feature,2026-06-12T10:12:11.991922+00:00,2026-06-12T10:12:12.399241+00:00,0.4073188304901123,82332,,
46,result_writing,UNSW-NB15,unsw_nb15_official_full,0,mlp_sklearn,a1_constrained_feature,2026-06-12T10:12:12.399480+00:00,2026-06-12T10:12:12.403024+00:00,0.003543376922607422,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_mlp_sklearn_a1_constrained_feature_0.csv,
47,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,mlp_sklearn,a1_constrained_score_search,2026-06-12T10:12:12.403065+00:00,2026-06-12T10:12:13.657647+00:00,1.2545819282531738,82332,,
48,result_writing,UNSW-NB15,unsw_nb15_official_full,0,mlp_sklearn,a1_constrained_score_search,2026-06-12T10:12:13.657891+00:00,2026-06-12T10:12:13.661668+00:00,0.0037767887115478516,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_mlp_sklearn_a1_constrained_score_search_0.csv,
49,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,mlp_sklearn,a4_split_shift,2026-06-12T10:12:13.661711+00:00,2026-06-12T10:12:13.735320+00:00,0.0736083984375,82332,,
50,result_writing,UNSW-NB15,unsw_nb15_official_full,0,mlp_sklearn,a4_split_shift,2026-06-12T10:12:13.735490+00:00,2026-06-12T10:12:13.738887+00:00,0.003396749496459961,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_mlp_sklearn_a4_split_shift_0.csv,
51,split_construction,UNSW-NB15,unsw_nb15_official_full,0,random_forest,,2026-06-12T10:12:13.738972+00:00,2026-06-12T10:12:13.916298+00:00,0.17732548713684082,257673,,
52,preprocessing,UNSW-NB15,unsw_nb15_official_full,0,random_forest,,2026-06-12T10:12:13.916420+00:00,2026-06-12T10:12:19.838660+00:00,5.922240257263184,257673,,
53,model_training,UNSW-NB15,unsw_nb15_official_full,0,random_forest,,2026-06-12T10:12:19.838854+00:00,2026-06-12T10:12:36.587541+00:00,16.74868655204773,257673,,
54,clean_profile,UNSW-NB15,unsw_nb15_official_full,0,random_forest,,2026-06-12T10:12:36.587638+00:00,2026-06-12T10:12:38.210032+00:00,1.6223938465118408,257673,,
55,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,random_forest,a0_clean,2026-06-12T10:12:38.219266+00:00,2026-06-12T10:12:38.761930+00:00,0.5426638126373291,82332,,
56,result_writing,UNSW-NB15,unsw_nb15_official_full,0,random_forest,a0_clean,2026-06-12T10:12:38.762104+00:00,2026-06-12T10:12:38.765585+00:00,0.003481149673461914,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_random_forest_a0_clean_0.csv,
57,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,random_forest,a1_constrained_feature,2026-06-12T10:12:38.765635+00:00,2026-06-12T10:12:39.650718+00:00,0.8850827217102051,82332,,
58,result_writing,UNSW-NB15,unsw_nb15_official_full,0,random_forest,a1_constrained_feature,2026-06-12T10:12:39.650946+00:00,2026-06-12T10:12:39.654529+00:00,0.003582477569580078,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_random_forest_a1_constrained_feature_0.csv,
59,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,random_forest,a1_constrained_score_search,2026-06-12T10:12:39.654584+00:00,2026-06-12T10:12:43.078207+00:00,3.4236230850219727,82332,,
60,result_writing,UNSW-NB15,unsw_nb15_official_full,0,random_forest,a1_constrained_score_search,2026-06-12T10:12:43.078434+00:00,2026-06-12T10:12:43.082028+00:00,0.003593921661376953,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_random_forest_a1_constrained_score_search_0.csv,
61,threat_evaluation,UNSW-NB15,unsw_nb15_official_full,0,random_forest,a4_split_shift,2026-06-12T10:12:43.082084+00:00,2026-06-12T10:12:43.624546+00:00,0.5424625873565674,82332,,
62,result_writing,UNSW-NB15,unsw_nb15_official_full,0,random_forest,a4_split_shift,2026-06-12T10:12:43.624716+00:00,2026-06-12T10:12:43.628153+00:00,0.003436565399169922,1,results/raw/tier_e_core4_hgb_mlp_timed_expanded/UNSW-NB15_unsw_nb15_official_full_random_forest_a4_split_shift_0.csv,
