dataset,model_id,n_pairs,mean_robust_drop,std_robust_drop,ci_low,ci_high,mean_asr,mean_validity_rate,mean_valid_count,mean_invalid_count,wilcoxon_p,holm_p
CICIDS2017,extra_trees,10,0.021125669666265823,0.021941128326813168,0.007526417436699122,0.034724921895832525,0.9003774673355125,0.9955022222222223,89595.2,404.8,0.00390625,0.0390625
CICIDS2017,hist_gradient_boosting,10,0.027459219982287147,0.04532620567792664,-0.0006342533542717417,0.05555269331884603,0.8348072122542473,0.9955022222222223,89595.2,404.8,0.001953125,0.0390625
CICIDS2017,logistic_regression,10,0.05984625894889467,0.02950960740992436,0.041556014783437026,0.07813650311435232,0.6634161614764528,0.9955022222222223,89595.2,404.8,0.001953125,0.0390625
CICIDS2017,mlp_sklearn,10,0.00473087249239681,0.005007213025121806,0.001627369706143634,0.007834375278649986,0.6922492658862953,0.9955022222222223,89595.2,404.8,0.001953125,0.0390625
CICIDS2017,random_forest,10,0.09928893016448705,0.06586280017559694,0.05846674368472791,0.1401111166442462,0.9384171768489074,0.9955022222222223,89595.2,404.8,0.001953125,0.0390625
CSE-CIC-IDS2018,extra_trees,10,0.08008834509402055,0.03925480562292728,0.05575796449839608,0.10441872568964501,0.8420360031095765,0.9980399999999999,4990.2,9.8,0.001953125,0.0390625
CSE-CIC-IDS2018,hist_gradient_boosting,10,0.008167153218929895,0.017359685868055464,-0.0025924915554562354,0.018926797993316025,0.9879571182715635,0.9980399999999999,4990.2,9.8,0.013671875,0.0390625
CSE-CIC-IDS2018,logistic_regression,10,0.07746962335492802,0.034334037089277056,0.056189166694648594,0.09875008001520744,0.6575543269948045,0.9980399999999999,4990.2,9.8,0.001953125,0.0390625
CSE-CIC-IDS2018,mlp_sklearn,10,0.010116885381218133,0.029920384302382315,-0.008427960939944811,0.028661731702381076,0.442701589223838,0.9980399999999999,4990.2,9.8,0.064453125,0.064453125
CSE-CIC-IDS2018,random_forest,10,0.1086501596429105,0.06120009479436058,0.07071794789950536,0.14658237138631564,0.9646776498030064,0.9980399999999999,4990.2,9.8,0.001953125,0.0390625
TON_IoT,extra_trees,10,0.10559776406929926,0.025294584607167082,0.0899200181033085,0.12127551003529001,0.2523384030418251,0.9998973448381101,36039.3,3.7,0.001953125,0.0390625
TON_IoT,hist_gradient_boosting,10,0.30254732341764484,0.06122466646157384,0.2645998819971166,0.3404947648381731,0.602495247148289,0.9998973448381101,36039.3,3.7,0.001953125,0.0390625
TON_IoT,logistic_regression,10,0.004302638606375064,0.0006958699026366594,0.003871333972266739,0.004733943240483388,0.22225760456273758,0.9998973448381101,36039.3,3.7,0.001953125,0.0390625
TON_IoT,mlp_sklearn,10,0.049150474191102245,0.025957340106311646,0.03306194811092817,0.06523900027127633,0.16008555133079844,0.9998973448381101,36039.3,3.7,0.001953125,0.0390625
TON_IoT,random_forest,10,0.13570348958661893,0.03311830960180365,0.1151765486297395,0.15623043054349836,0.26998574144486687,0.9998973448381101,36039.3,3.7,0.001953125,0.0390625
UNSW-NB15,extra_trees,10,0.0019899137940550095,0.0004880967404948821,0.0016873883000352878,0.0022924392880747315,0.024168377370152042,0.9991254919108,82260.0,72.0,0.001953125,0.0390625
UNSW-NB15,hist_gradient_boosting,10,0.003066605591945981,0.00044267332411018084,0.002792233823083105,0.003340977360808857,0.03941902302275783,0.9991254919108,82260.0,72.0,0.001953125,0.0390625
UNSW-NB15,logistic_regression,10,0.012679955832980871,0.00022353753853494973,0.012541405831174524,0.01281850583478722,0.09600909432046438,0.9991254919108,82260.0,72.0,0.001953125,0.0390625
UNSW-NB15,mlp_sklearn,10,0.005437302012414202,0.0007895896395063158,0.004947909283582802,0.005926694741245603,0.03678564333487843,0.9991254919108,82260.0,72.0,0.001953125,0.0390625
UNSW-NB15,random_forest,10,0.0015026214450689524,0.00043678510533308424,0.001231899232014688,0.0017733436581232169,0.01780235304505217,0.9991254919108,82260.0,72.0,0.001953125,0.0390625
