sample_index,monotonic_s,elapsed_s,rail,power_w,voltage_mv,current_ma,source_path
10723,37704.195315233,10747.948282894002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10724,37705.1975916,10748.950559261,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10725,37706.199672763,10749.952640424002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10726,37707.201936204,10750.954903865,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10727,37708.203903861,10751.956871522001,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10728,37709.206402414,10752.959370074997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10729,37710.209393654,10753.962361314996,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10730,37711.211816622,10754.964784283002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10731,37712.214174053,10755.967141713998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10732,37713.216184242,10756.969151903002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10733,37714.218031291,10757.970998951998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10734,37715.220362836,10758.973330497,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10735,37716.222875794,10759.975843455002,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10736,37717.225204331,10760.978171992,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10737,37718.227473827,10761.980441487998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10738,37719.229819711,10762.982787371999,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10739,37720.232015382,10763.984983042996,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10740,37721.234579001,10764.987546662,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10741,37722.237066938,10765.990034599003,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10742,37723.239513435,10766.992481096,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10743,37724.241557297,10767.994524957998,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10744,37725.246139058,10768.999106718999,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10745,37726.248062821,10770.001030482003,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10746,37727.250274498,10771.003242159,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10747,37728.251996784,10772.004964444997,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10748,37729.254353618,10773.007321279001,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10749,37730.256258984,10774.009226645001,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
10750,37731.259850512,10775.012818172996,VDD_IN,6.905856,8992.0,768.0,/sys/devices/platform/bus@0/c240000.i2c/i2c-1/1-0040/hwmon/hwmon1
